PlateNumber,Position,PlatePosition,Well,Nitrogen,Strain,Treatment_rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
15,0_4,plate1,d02,High,Sterile,Rep5,6552.5,0.331462129,2,20,2.833333333,15 d02,6.5655
15,0_4,plate1,d05,High,Inoculated,Rep5,3453,0.334391703,2,20,2.833333333,15 d05,3.3525
16,1_0,plate2,b04,Low,Inoculated,Rep6,3412.5,0.332714968,2,20,2.833333333,16 b04,3.408
16,1_0,plate2,d01,High,Sterile,Rep6,2936.5,0.322495895,2,20,2.833333333,16 d01,2.8885
16,1_0,plate2,d04,High,Inoculated,Rep6,6232,0.334924196,2,20,2.833333333,16 d04,5.4685
17,1_1,plate1,a06,Low,Sterile,Rep7,7030,0.342794479,2,20,2.833333333,17 a06,6.957
17,1_1,plate1,b03,Low,Inoculated,Rep7,7587,0.337324856,2,20,2.833333333,17 b03,7.257
17,1_1,plate1,d03,High,Inoculated,Rep7,3295.5,0.332512472,2,20,2.833333333,17 d03,3.235
18,1_2,plate2,a05,Low,Sterile,Rep8,1666.5,0.331801802,2,20,2.833333333,18 a05,1.311
18,1_2,plate2,b02,Low,Inoculated,Rep8,4283,0.334843435,2,20,2.833333333,18 b02,3.9645
18,1_2,plate2,c05,High,Sterile,Rep8,5473,0.338225654,2,20,2.833333333,18 c05,5.2575
18,1_2,plate2,d02,High,Inoculated,Rep8,2612.5,0.32650803,2,20,2.833333333,18 d02,3.174
19,1_3,plate1,b01,Low,Inoculated,Rep9,4266,0.328111083,2,20,2.833333333,19 b01,4.302
19,1_3,plate1,c04,High,Sterile,Rep9,3682,0.32879369,2,20,2.833333333,19 c04,3.82
19,1_3,plate1,d01,High,Inoculated,Rep9,3403,0.3307113,2,20,2.833333333,19 d01,3.178
20,1_4,plate2,a03,Low,Sterile,Rep10,2099.5,0.328560339,2,20,2.833333333,20 a03,1.998
20,1_4,plate2,a06,Low,Inoculated,Rep10,3511.5,0.332105101,2,20,2.833333333,20 a06,2.8025
20,1_4,plate2,c06,High,Inoculated,Rep10,3594,0.33256598,2,20,2.833333333,20 c06,2.855
11,0_0,plate1,a03,Low,Inoculated,Rep1,12501,0.341276016,3,6,3.25,11 a03,10.951
11,0_0,plate1,c03,High,Inoculated,Rep1,12790,0.331316976,3,6,3.25,11 c03,11.1525
11,0_0,plate1,d06,High,Sterile,Rep1,9787.5,0.335597999,3,6,3.25,11 d06,8.689
12,0_1,plate2,a02,Low,Inoculated,Rep2,5115,0.329948473,3,6,3.25,12 a02,4.5135
12,0_1,plate2,b05,Low,Sterile,Rep2,5090.5,0.336573473,3,6,3.25,12 b05,4.6965
12,0_1,plate2,c02,High,Inoculated,Rep2,8691,0.330158388,3,6,3.25,12 c02,7.288
12,0_1,plate2,d05,High,Sterile,Rep2,3207,0.320616239,3,6,3.25,12 d05,3.33
13,0_2,plate1,a01,Low,Inoculated,Rep3,6388,0.328638109,3,6,3.25,13 a01,1.1995
13,0_2,plate1,b04,Low,Sterile,Rep3,3747.5,0.332820013,3,6,3.25,13 b04,3.659
13,0_2,plate1,c01,High,Inoculated,Rep3,2487.5,0.331093436,3,6,3.25,13 c01,2.129
13,0_2,plate1,d04,High,Sterile,Rep3,7657.5,0.34649792,3,6,3.25,13 d04,7.088
14,0_3,plate2,b03,Low,Sterile,Rep4,5383.5,0.338586054,3,6,3.25,14 b03,4.4945
14,0_3,plate2,b06,Low,Inoculated,Rep4,9407,0.344463725,3,6,3.25,14 b06,7.924
14,0_3,plate2,d03,High,Sterile,Rep4,6181,0.32742111,3,6,3.25,14 d03,6.0155
14,0_3,plate2,d06,High,Inoculated,Rep4,2480,0.32650566,3,6,3.25,14 d06,2.286
